id,date,venue,city,country,latitude,longitude,tour,setlist
4bab83ba,12-09-2024,Qudos Bank Arena,Sydney,Australia,-33.8678499639382,151.207323074341,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
5bab83c4,10-09-2024,Brisbane Entertainment Centre,Brisbane,Australia,-27.4679357321901,153.028092384338,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
4bab83c6,07-09-2024,Rod Laver Arena,Melbourne,Australia,-37.8139965641595,144.963322877884,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
53ab83c1,06-09-2024,Rod Laver Arena,Melbourne,Australia,-37.8139965641595,144.963322877884,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
43ab83cf,04-09-2024,Adelaide Entertainment Centre,Adelaide,Australia,-34.9333333,138.6,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
43ab83cb,01-09-2024,RAC Arena,Perth,Australia,-31.9333333,115.8333333,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
5ba32b18,06-10-2023,Empire Polo Club,"Indio, CA",United States,33.7205771,-116.2155619,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
53a3c79d,02-10-2023,Rogers Arena,Vancouver,Canada,49.249657393,-123.119340403,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
63a3eedf,30-09-2023,Rogers Place,Edmonton,Canada,53.550135939,-113.468712219,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
3a38123,28-09-2023,Scotiabank Saddledome,Calgary,Canada,51.050112282,-114.085285152,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
