venue_id,city_id,venue
5bd627e0,5151613,Blossom Music Center
3d65997,5182414,First Niagara Pavilion
4bd61fe6,5099193,PNC Bank Arts Center
63d5662b,6325494,Plaines d'Abraham
53d63f19,6141256,Credit Union Centre
5bd63be4,5913490,Pengrowth Saddledome
4bd637ae,6173331,General Motors Place
53d61fed,5339111,Sleep Train Pavilion
7bd6caf8,5308655,Cricket Wireless Pavilion
43d637f3,4684888,Superpages.com Center
3bd628e0,3390760,Jockey Club
63d6762f,3936454,Estadio Nacional
53d62bf9,3871336,Club Hípico
3bd650c4,3469058,Estádio Mané Garrincha
bd6751e,3470127,Ginásio Mineirinho
5bd6c74c,3448439,Autódromo de Interlagos
3d6c50f,3451190,Praça da Apoteose
3d6d17b,cu:aa1a5c16-06c7-11e6-b736-22000bb3106b,Sambodromo
6bd6c652,3652462,Estadio del Aucas
4bd63b1a,3646738,Estacionamiento del Poliedro de Caracas
7bd6d684,3624955,Estadio Alejandro Morera Soto
23d638cf,4005539,Arena VFG
bd639ea,11414139,Estadio Universitario
1bd651a4,2192362,Westpac Arena
43d6c743,2193733,Mount Smart Stadium
5bd63714,1277333,Palace Grounds
1bd37994,292223,Dubai Media City Amphitheatre
4bd61782,792680,Beogradska Arena
63d6268f,2759633,TT Circuit
43d6cb47,3190261,Stadion Poljud
33d64405,756135,Stadion Gwardia
13d6cdf5,683506,Stadionul Cotroceni
63d7d21b,2619771,Godsbanepladsen
43d61fcf,6942479,Valle Hovin
7bd62ad8,3133880,Lerkendal
4bd6cb26,634963,Ratinan Stadion
4bd7af3a,2673730,Stockholms Stadion
7bd61254,2509832,Albergue Juvenil de Mérida
4bd62b4e,2267057,Parque do Tejo
4bd5974e,2635308,Twickenham Stadium
53d63b2d,3181928,Arena Parco Nord
53d62765,6077243,Parc Jean-Drapeau
53d61ff5,4352053,Merriweather Post Pavilion
53d6c3f5,6119109,Brandt Centre
5bd6272c,5454711,Journal Pavilion
53d6272d,4727785,Verizon Wireless Amphitheater
3d63547,5097459,Izod Center
7bd47ab8,3871336,Pista Atlética Estadio Nacional
43d72333,3435910,Estadio Ferrocarril Oeste
2bd6247e,3452925,Gigantinho
bd6c546,3448439,Estádio Palestra Itália
6bd63af6,11414139,Arena Monterrey
13d43939,3979770,Auditorio Telmex
7bd08e34,2113015,Makuhari Messe Kokusai Tenjijou
23d34c27,1848354,"PACIFICO Yokohama, Kokuritsu Dai Hall"
63d61e77,2147714,Acer Arena
13d6cdfd,2063523,Burswood Dome
